Price,Square,Address,Latitude,Longitude,Link
437230.0,190.1,"Санкт-Петербург, проспект Косыгина, 26",59.9455102,30.4857717,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/torgovaya_ploschad_190.1_m_2516693916
34000.0,40.0,"Санкт-Петербург, Цветочная ул., 16Б",59.8942559,30.3293622,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/ofis_40_m_2797171479
140000.0,94.6,"Санкт-Петербург, Яхтенная ул., 3к1",59.9852172,30.2161068,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_94.6_m_2879417118
84000.0,105.0,"Санкт-Петербург, Московский проспект, 22М",59.890814,30.3197575,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_105_m_2772986469
24900.0,16.0,"Санкт-Петербург, Моховая ул., 12",59.9447695,30.3453676,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/uslugi_psiholog_byuti_s_vodoy_16m_ili_23m_2945261045
589600.0,268.0,"Санкт-Петербург, Плесецкая ул., 8к1",60.0322054,30.2117302,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/torgovaya_ploschad_268_m_3014090499
40000.0,30.0,"Санкт-Петербург, Московский проспект, 151А",59.8732692,30.3177905,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/magazin.torgovoe_pomeschenie_30m1_etya_sobstvennik_2990668234
18580.0,19.3,"Санкт-Петербург, проспект Энергетиков, 70к1",59.9720253,30.4358669,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/torgovaya_ploschad_19.3_m_2652265612
89200.0,22.3,"Санкт-Петербург, Комендантский проспект, 61",60.034645,30.229729,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/torgovaya_ploschad_22.3_m_2420664344
340000.0,194.0,"Санкт-Петербург, Комендантский проспект, 12к1",60.008221,30.257417805464804,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_194_m_3024044426
